MI_OBJ_OIS_SUM_OF_TAXATION_VALUES,MI_OBJ_OIS_SIZE_OF_BUSINESS_AREA,MI_OBJ_OIS_MOTHER_ID,MI_OBJ_OIS_TAXATION_VALUE,MI_OBJ_OIS_CONSTRUCTION_YEAR,MI_OBJ_OIS_SIZE_OF_BUSINESS_AREA_BUILDING,MI_OBJ_OIS_SIZE_OF_BASEMENT,MI_OBJ_OIS_SIZE_OF_HOUSE,C20_6MONTH%,MI_OBJ_OIS_TAXATION_VALUE_PLOT,KOEBESUM_BELOEB
2100000,0,0,2121308.66,1959,0,39,114,4.52,1061866.51,3150000
1900000,0,0,1976315.11,1958,0,0,114,7.76,1059408.91,1197500
2750000,0,0,2860456.08,1970,0,0,183,20.05,1174243.22,3400000
1300000,0,28330,1313191.08,1973,0,0,90,5.49,307589.76,1400000
1900000,0,0,1938477.8,1850,0,0,135,2.24,989133.8,2245000
2250000,0,0,2272830.71,1976,0,0,142,5.33,1039441.24,2875000
44559000,0,0,320476.99,1962,0,0,30,22.36,0,300000
2450000,0,0,2474860.11,1979,0,0,133,5,1093282.08,2700000
2650000,0,0,2756439.49,1979,0,0,152,9.01,1125771.5,2850000
2800000,0,0,2849996.52,2000,0,0,139,31.35,1145596.82,3400000
2500000,0,0,2525367.46,1980,0,0,147,5.95,1149345.24,2800000
2300000,0,30270,2361374.45,1978,0,0,124,6.24,709644.36,1500000
2300000,0,0,2392381.45,1979,0,0,137,18.94,1160096.97,3245000
2800000,0,0,2800000,1979,0,0,174,45.97,1067600,4250000
1850000,0,0,1883033.41,1980,0,0,111,31.35,649188.49,2275000
1600000,0,0,1600000,1981,0,0,87,32.54,637800,1750000
1600000,0,0,1664265.35,1980,0,0,87,18.3,663417.78,1640000
1400000,0,0,1456232.18,1980,0,0,70,17.73,664874.01,1550000
1600000,0,0,1664265.35,1980,0,0,87,10.23,663417.78,1710000
1600000,0,0,1616235.17,1980,0,0,87,4.82,644271.75,1650000
2100000,0,0,2142528.1,1980,0,0,133,7.11,1132785.21,4115000
2000000,0,0,2040502.95,1981,0,0,112,-1.19,806712.84,2300000
2000000,0,0,2080331.69,1981,0,0,112,3.41,822459.13,2100000
1600000,0,33393,1642695.27,1913,0,0,117,5.81,102257.78,1665000
3100000,621,66852,2890158.99,1946,0,0,0,3.91,887278.81,3250000
630000,0,12922,645438.58,1968,0,0,46,27.29,185845.33,825000
1350000,0,12922,1350000,1968,0,0,106,31.54,427300,1495000
640000,0,12922,666621.79,1968,0,0,46,20.05,184779.23,740000
610000,0,12922,626277.57,1968,0,0,91,-1.19,376690.56,1300000
970000,0,12922,995884.01,1968,0,0,74,9.51,306362.67,1020000
1550000,0,22219,1614474.65,1973,0,0,120,0.37,330498.58,1920000
760000,0,22219,780280.25,1973,0,0,55,-3.2,127616.89,870000
520000,0,22219,541630.2,1973,0,0,78,18.25,187279.06,1145000
2900000,0,0,2958729.28,1998,0,0,140,3.33,982502.17,4065000
1100000,0,0,1100000,1989,0,0,71,31.89,477300,1500000
930000,0,19420,968684.79,1931,0,0,65,18.3,132282.76,830000
780000,163,133320,780000,1988,0,0,0,29.06,276500,1150000
2300000,0,0,2323338.06,1994,0,0,104,5,1010551.04,2850000
2050000,0,0,2091515.52,1995,0,0,93,4.47,937713.13,2515000
1350000,0,139795,1350000,1955,0,0,96,28.53,554900,1950000
2900000,0,0,2900000,1997,0,0,129,35.79,1136000,3600000
2750000,0,0,2860456.08,1998,0,0,129,19.51,1128996.01,3075000
2650000,0,0,2676889.5,2000,0,0,155,-1.47,1034188.48,3050000
2550000,0,0,2550000,2002,0,0,133,28.3,1044900,3950000
2950000,0,0,2979933.6,2003,0,0,162,3.92,1038128.05,3700000
2450000,0,0,2474860.11,2004,0,0,134,5.31,697405.48,1375000
2250000,0,0,2340373.15,2006,0,0,108,18.78,718234.52,2600000
2250000,0,0,2250000,2006,0,0,108,28.31,696200,2675000
2300000,0,0,2392381.45,2006,0,0,112,1.28,719794.77,2550000
1450000,0,148239,1510314.99,2007,0,0,91,11.68,268940.23,2266000
1700000,0,148239,1700000,2007,0,0,105,23.4,298600,2530000
1150000,0,148239,1150000,2007,0,0,75,29.66,208400,1900000
1150000,0,148425,1197836.03,2006,0,0,63,0.37,33331.09,1330000
1150000,0,148425,1197836.03,2006,0,0,63,15.98,33331.09,1350000
1150000,0,148425,1197836.03,2006,0,0,63,18.25,33331.09,1425000
1850000,0,0,1868771.92,1992,0,0,99,-0.03,593259.32,3100000
3700000,0,0,3848613.63,2006,0,0,192,15.98,1169042.39,4350000
1150000,0,148964,1180687.22,2008,0,0,62,-0.26,32853.91,1340000
2350000,0,0,2391961.36,2007,0,0,118,31.35,680233.1,3150000
2350000,0,0,2373845.41,2007,0,0,118,4.98,682960.37,3050000
2350000,0,148190,2447751.89,2006,0,0,150,7.51,438095.51,3370000
1850000,0,148190,1899366.4,2006,0,0,115,6.24,325459,2400000
1750000,0,148190,1822793.96,2006,0,0,109,17.51,311645.69,2450000
1950000,0,149081,1950000,2006,0,0,110,31.61,68000,2725000
1950000,0,149081,2031113.27,2006,0,0,110,17.53,70828.57,2500000
3050000,0,0,3172505.83,2008,0,0,169,10.14,1043182.33,4400000
1500000,0,148255,1562394.82,2010,0,0,91,9.01,258524.26,1995000
1750000,0,148255,1822793.96,2010,0,0,104,-0.36,296021.74,2625000
1750000,0,148255,1750000,2010,0,0,104,39.32,284200,2875000
1650000,0,148220,1718634.3,2008,0,0,102,13.63,283418.42,2100000
1300000,0,148182,1354075.51,2007,0,0,81,15.98,219672.71,2345000
930000,0,149474,930000,1996,0,0,63,28.31,284600,1595000
1600000,0,149478,1666554.48,1996,0,0,82,19.31,306750.18,2050000
1150000,0,41698,1150000,1969,0,0,79,42.54,226000,1495000
1100000,0,41698,1145756.2,1969,0,0,76,19.1,226234.77,1400000
1700000,0,0,1776089.17,1957,0,0,100,11.8,999729.25,1700000
1600000,0,0,1671613.33,1957,0,0,100,18.78,938819.84,2000000
1550000,0,0,1599027.95,1958,0,0,83,3.61,940125.27,2170000
17200000,4572,0,14956278.46,1972,4640,1610,0,1.28,4001500.13,14620000
4050000,0,0,4178105.3,1974,0,0,214,5,1912540.59,4850000
1600000,0,0,1600000,1940,0,0,100,29.66,792900,1500000
3100000,0,0,3187579.84,1975,0,0,218,-3.2,1194314.19,3100000
2050000,0,0,2050000,1940,0,0,122,29.66,982000,2530000
2850000,0,0,2850000,1962,0,106,179,28.31,997500,3250000
4050000,0,0,4231271.25,1924,0,12,179,3.13,2249260.22,2200000
2650000,0,0,2733821.98,1957,0,0,179,3.89,1206079.73,3300000
2200000,0,0,2200000,1948,0,88,128,38.13,1067100,2400000
1950000,0,0,2037278.75,1957,0,0,111,2.36,1088847.13,2800000
2050000,0,0,2050000,1959,0,0,130,31.12,1007800,2250000
1400000,0,0,1444283.31,1957,0,0,142,5.58,1221141.54,1350000
1950000,0,0,2037278.75,1957,0,0,107,10.14,1236680.44,2125000
2350000,0,0,2424332.7,1957,0,0,164,5,1158315.22,2200000
2500000,0,0,2500000,1957,0,0,149,26.45,1251600,2325000
1750000,0,0,1828327.08,1960,0,0,98,18.77,1059384.95,2045000
1700000,0,0,1776089.17,1965,0,0,101,8.23,829433.64,1915000
1700000,0,0,1753772.59,1961,0,0,105,4.52,916294.6,2150000
1950000,0,0,1950000,1942,0,84,108,29.92,895500,1700000
2600000,0,0,2716371.67,1970,0,126,167,17.38,997221.83,2850000
1750000,0,0,1750000,1961,0,92,92,29.98,921400,3095000
1700000,0,0,1753772.59,1961,0,0,108,5.49,950544.75,2200000
1900000,0,0,1985040.83,1943,0,59,90,19.8,998475.54,1800000
1700000,0,0,1776089.17,1959,0,0,102,20.05,908103.94,2050000
2050000,0,0,2114843.42,1959,0,45,140,9.51,919492.65,2475000
1700000,0,0,1700000,1959,0,26,110,39.32,805100,2675000
1650000,0,0,1723851.25,1962,0,38,85,19.8,944983.91,1995000
2250000,0,0,2350706.25,1958,0,29,171,11.8,788792.54,3000000
2250000,0,0,2250000,1962,0,0,172,31.27,834200,3040000
1700000,0,0,1753772.59,1959,0,41,90,5.33,851405.01,2099000
1600000,0,0,1671613.33,1958,0,0,100,0.49,850642.23,1825000
1600000,0,0,1600000,1959,0,105,105,39.32,842400,1950000
1500000,0,0,1547446.41,1963,0,85,85,3.91,869045.9,1865000
1800000,0,0,1880565,1962,0,49,115,20.26,951774.84,2250000
2250000,0,0,2250000,1960,0,0,122,29.98,1114300,1400000
1650000,0,0,1672981.56,1962,0,0,102,30.51,919632.89,2000000
1750000,0,0,1805354.14,1968,0,0,112,5.95,846350.02,2770000
2050000,0,0,2107915.7,1928,0,22,119,-1.47,974474.01,2995000
1600000,0,0,1671613.33,1960,0,25,94,0.37,875716.43,2980000
1550000,0,0,1599027.95,1956,0,0,95,4.47,869045.9,2150000
2200000,0,0,2200000,1970,0,0,143,35.56,921400,2762500
2000000,0,0,2089516.67,1959,0,0,126,15.98,1119354.08,2870000
1950000,0,0,2011680.33,1954,0,61,114,2.75,945077.1,1920000
1800000,0,0,1856935.69,1958,0,0,128,6.14,862546.63,2150000
1650000,0,0,1650000,1959,0,70,70,28.22,836600,2400000
1700000,0,0,1753772.59,1960,0,0,124,5.75,847278.49,1500000
2000000,0,0,2000000,1959,0,89,110,28.22,1035500,2700000
1850000,0,0,1902265.39,1962,0,55,103,-0.26,1073391.81,1495000
2150000,0,0,2150000,1928,0,3,134,30.71,966400,2325000
2050000,0,0,2050000,1973,0,82,82,29.66,1153300,2250000
3700000,836,0,3786426,1965,836,56,37,-0.03,612991.67,5150000
1900000,0,0,1900000,1958,0,0,98,29.06,1140100,2145000
1500000,0,0,1567137.5,1959,0,0,78,10.68,861403.25,1700000
2100000,0,0,2159328.28,1927,0,0,143,6.15,1038534.08,1925000
1900000,0,0,1985040.83,1948,0,102,88,6.99,1004430.66,1700000
1950000,0,0,1950000,1957,0,105,105,39.32,916100,2350000
3000000,0,0,3084754.69,1962,299,0,117,-1.47,490373.17,2000000
2550000,0,0,2622041.48,1890,0,25,156,-0.03,896224.06,2033960
1600000,0,0,1650609.5,1878,0,0,96,9.51,679638.46,2630000
2000000,0,0,2089516.67,1958,0,44,138,20.05,904551.76,1225000
2400000,0,0,2400000,1870,0,0,185,25.13,971000,3400000
1650000,0,0,1672981.56,1943,0,0,100,31.81,741891.28,1795000
1950000,0,0,1950000,1958,0,24,115,26.22,849900,1650000
2200000,0,0,2269588.06,1985,0,0,147,5.1,886170.98,2750000
2000000,0,0,2063261.87,1980,0,0,142,5.58,762684.75,2950000
1950000,0,0,1977160.03,1979,0,0,129,31.35,859506.95,2900000
1850000,0,0,1908517.23,1945,0,64,75,3.61,1006252.82,2095000
2750000,0,0,2836985.08,1969,0,0,211,5.4,1259105.56,1400000
2050000,0,0,2141754.58,1965,0,38,131,10.73,1019057.28,2950000
2350000,0,0,2455182.08,1951,0,87,141,11.81,1019057.28,2675000
1800000,0,0,1800000,1962,0,0,120,40.81,698300,2300000
2700000,0,0,2700000,1968,0,0,144,28.22,1163900,3395000
1950000,0,0,1950000,1950,0,0,121,39.32,770900,2105000
2600000,0,0,2716371.67,1969,0,96,166,3.41,1102742.42,2550000
3050000,0,0,3050000,1968,0,30,239,28.22,1056200,3580000
2350000,0,0,2350000,1966,0,113,113,31.12,1012500,2600000
1750000,0,0,1828327.08,1969,0,0,113,9.65,705002.92,2500000
1800000,0,0,1800000,1760,0,0,87,24.74,846300,1200000
2150000,0,0,2246230.42,1956,0,0,145,18.78,991789.09,2550000
650000,0,36888,674514.32,1967,0,0,46,7.76,81149.26,640000
1050000,0,36888,1050000,1967,0,0,82,28.3,142100,1500000
1450000,0,0,1450000,1943,0,0,84,29.66,731700,1915000
1750000,0,0,1828327.08,1970,0,0,107,17.41,840612.55,2250000
2150000,0,0,2210740.86,1970,0,0,147,6.31,827331.21,2300000
3500000,0,0,3500000,1963,0,86,225,25.74,1209000,3800000
2450000,36,0,2450000,1946,36,40,160,39.32,942700,1800000
1450000,0,0,1495864.86,1957,0,0,85,5.81,830566.07,1750000
4300000,328,0,4196409.61,1969,328,33,121,18.77,795366.01,3150000
2900000,0,0,3029799.17,1959,0,110,170,6.99,976849.04,2220000
2350000,0,0,2455182.08,1961,0,0,159,18.94,892746,3050000
2400000,0,0,2475914.25,1971,0,69,133,7.11,1110447.54,2950000
2000000,0,0,2000000,1974,0,0,143,33.36,943800,2550000
2900000,0,0,3029799.17,1961,0,42,210,18.3,945297.34,2900000
1900000,0,0,1985040.83,1967,0,0,119,11.16,992415.94,2900000
2750000,0,0,2873085.42,1970,0,129,189,11.16,940700.4,2250000
2200000,0,0,2298468.33,1966,0,0,142,22.36,1176815.79,2700000
1700000,0,0,1700000,1959,0,0,130,42.66,700300,1595000
1750000,0,0,1750000,1959,0,0,133,32.36,811300,2500000
2550000,0,0,2550000,1960,0,86,169,42.66,954000,2950000
1900000,0,0,1960098.78,1973,0,0,143,6.35,816742.21,2265000
1900000,0,0,1953677.97,1973,0,0,143,-2.13,820441.92,2588000
1000000,0,36861,1000000,1971,0,0,79,28.31,137200,1445000
1050000,0,36861,1074526.3,1971,0,0,82,4.52,140404.77,1375000
1050000,0,36861,1089600.05,1971,0,0,82,18.13,142374.41,1450000
1050000,0,36861,1050000,1971,0,0,79,30.29,137200,1500000
1050000,0,36861,1089600.05,1971,0,0,79,1.48,142374.41,1350000
1050000,0,36861,1077717.94,1971,0,0,82,31.35,140821.81,1445000
2550000,0,0,2550000,1978,0,0,167,35.56,970500,3075000
2200000,0,0,2298468.33,1978,0,0,121,10.73,998788.97,3150000
2500000,0,0,2611895.83,1978,0,0,153,18.58,1005057.52,3704750
1850000,0,0,1932802.92,1977,0,0,130,9.65,701450.74,2850000
1900000,0,0,1985040.83,1978,0,0,130,18.78,715450.51,2400000
1850000,0,0,1850000,1978,0,0,130,30.29,671400,2750000
2050000,0,0,2141754.58,1979,0,0,149,11.68,754211.04,2635000
1750000,0,0,1828327.08,1979,0,0,109,18.13,792762.62,2670000
1700000,0,0,1700000,1978,0,0,119,35.79,614800,2200000
1950000,0,0,1950000,1978,0,0,141,35.62,696000,2300000
1750000,0,0,1799440.23,1978,0,0,121,0.37,634842.51,1925000
2600000,0,0,2673454.06,1979,0,0,154,5.15,1003059.4,3900000
1850000,0,0,1908517.23,1980,0,0,130,3.61,703778.63,2875000
1950000,0,0,2037278.75,1980,0,0,138,3.78,754211.04,2595000
2500000,0,0,2579077.34,1980,0,0,178,5.49,817567.52,2580000
1850000,0,0,1850000,1980,0,0,133,32.36,626500,2715000
2750000,0,0,2873085.42,1980,0,49,160,9.05,1048728.41,3200999
2100000,0,0,2193992.5,1980,0,0,152,18.77,862448,2930000
2750000,0,60444,2873085.42,1983,0,0,163,11.16,944983.91,3995000
2500000,0,0,2579077.34,1989,0,0,118,2.24,1223101.64,2675000
1750000,0,0,1805354.14,1989,0,0,76,6.24,706460.87,1650000
4300000,0,0,4359891.34,1998,0,0,227,30.74,1427509.54,5950000
4500000,0,0,4500000,1998,0,0,203,42.66,1922300,3800000
1850000,0,5494,1850000,1925,0,0,110,35.56,515200,2400000
1300000,0,5494,1300000,1925,0,0,110,35.56,315400,1600000
1700000,0,0,1753772.59,1998,0,0,102,2.75,709143.11,2000000
1700000,0,0,1700000,1999,0,0,92,38.13,746400,2290000
1850000,0,0,1932802.92,1999,0,0,111,8.71,758599.03,2500000
2850000,0,0,2977561.25,2002,0,0,158,18.94,996072.59,3300000
1800000,0,0,1800000,2000,0,0,102,30.15,715000,2550000
1850000,0,0,1932802.92,1856,0,0,114,9.05,751912.57,2475000
3200000,0,0,3343226.67,2001,0,0,185,19.1,1151950.54,3700000
2750000,0,0,2750000,2001,0,0,160,23.4,964400,3375000
2700000,0,0,2700000,2002,0,0,145,35.79,1034400,3350000
2750000,0,0,2836985.08,2002,0,0,157,6.35,956218.72,3450000
2450000,0,0,2450000,2002,0,0,127,31.71,872200,2748000
1700000,0,0,1753772.59,2003,0,0,83,6.68,695112.93,2185000
1900000,0,0,1900000,2003,0,0,98,29.92,715000,950000
2550000,0,0,2664133.75,2004,0,0,140,18.13,916357.53,3310000
1950000,0,0,2037278.75,1961,0,0,182,18.78,660809.65,975000
3700000,0,0,3804530.78,1952,0,0,153,-3.2,1520064.28,5800000
2350000,0,0,2382731.31,1960,0,0,149,26.92,900064.08,4775000
2600000,0,0,2716371.67,1971,0,0,147,11.81,1199173.61,2895000
1800000,0,0,1800000,1972,0,0,114,30.29,718800,2995000
3150000,0,0,3249637.45,1761,0,0,113,2.74,1525163.18,3700000
3150000,0,0,3150000,1976,0,0,144,31.54,1344700,4900000
3000000,0,0,3000000,1933,0,0,117,23.4,1606800,4501000
3600000,0,0,3600000,1843,0,0,146,31.61,1527000,3600000
2700000,0,0,2700000,1860,0,0,87,31.54,1378100,3275000
3900000,0,0,4074557.5,1915,0,0,171,10.23,1427871.21,5400000
2550000,0,0,2630658.89,1770,0,0,78,5.81,1456147.07,2900000
3100000,0,0,3238750.83,1961,0,0,125,22.36,1459422.92,2700000
3850000,0,0,3971779.11,1870,0,0,139,12.29,2095448.76,5500000
3150000,0,0,3150000,1970,0,0,177,28.31,1121800,4400000
2600000,0,0,2636213.37,1840,0,0,77,29,1503655.55,3095000
4750000,0,0,4750000,1952,0,25,158,30.57,2446800,4310000
5400000,0,0,5570807.06,1957,0,99,174,3.92,2349126.81,6500000
5200000,0,0,5346908.12,1957,0,69,167,3.63,2512943.99,4300000
3100000,0,0,3100000,1800,0,0,105,30.29,1460200,4695000
2600000,0,0,2600000,1875,0,0,74,28.23,1368900,2775000
4550000,0,0,4550000,1954,0,98,164,25.47,1770500,8115000
5900000,0,0,6164074.16,1917,0,0,208,15.98,2940158.9,11400000
2800000,0,0,2925323.33,1800,0,0,88,18.3,1387961.45,3500000
2800000,496,0,2800000,1965,496,0,0,23.4,457800,3100000
3600000,0,0,3761130,1853,0,0,120,18.94,1609763.64,4183000
3750000,0,0,3917843.75,1950,0,40,121,13.06,2006771.81,6500000
6050000,0,0,6241367.17,1850,0,59,270,6.24,1826399.41,15000000
4950000,0,0,4950000,1975,0,0,188,30.61,2430600,6995000
4500000,0,0,4642339.22,1962,0,0,145,5.58,2055524.64,5650000
3400000,0,0,3400000,1918,0,0,50,42.54,3013600,1500000
2850000,0,0,2977561.25,1977,0,0,168,7.76,1342932.36,2700000
2000000,0,0,2056503.12,1969,0,0,112,-0.03,1024035.73,1000000
2700000,0,0,2785403.53,1984,0,0,145,5.1,1157386.75,2800000
2650000,0,0,2650000,1982,0,0,135,26.45,1039000,3265000
3150000,0,0,3290988.75,1969,0,0,210,9.01,1283590.09,5850000
2000000,0,0,2000000,1958,0,0,102,31.54,993800,2995000
3850000,0,0,4022319.58,1972,0,0,190,11.16,1514899.58,3200000
2500000,0,0,2570628.9,1957,0,0,175,3.63,1044497.94,3695000
2500000,0,0,2500000,1964,0,0,170,29.06,953400,4125000
2550000,0,0,2585516.96,1965,0,0,164,27.29,1314862.11,1650000
1750000,0,0,1828327.08,1973,0,0,68,13.63,1115906.38,1900000
2550000,0,0,2622041.48,1957,0,6,156,0.37,1144443.99,2600000
1900000,0,0,1985040.83,1959,0,0,95,1.28,1025848.21,2450000
2050000,0,0,2141754.58,1958,0,0,102,20.26,1135965.74,2925000
2150000,0,0,2246230.42,1960,0,0,102,13.63,1039012.16,2550000
2400000,0,0,2475914.25,1960,0,0,155,5.58,1025956.97,2725000
2300000,0,0,2402944.17,1960,0,0,144,18.7,1039012.16,3465000
2100000,0,0,2193992.5,1965,0,0,120,13.06,1045907.57,2600000
3950000,0,0,4074942.2,1947,0,0,166,3.61,1652466.44,3500000
2650000,0,0,2733821.98,1956,0,0,145,5.31,1080839.73,4195000
2200000,0,0,2298468.33,1970,0,0,126,-0.36,1040474.82,3200000
2050000,0,0,2107915.7,1958,0,0,92,6.31,1276265.84,2295000
2100000,0,0,2166424.97,1958,0,0,102,3.89,904327.68,3950000
3100000,0,0,3100000,1966,0,60,181,30.61,1139700,4900000
7200000,393,0,7427742.75,1895,456,0,494,7.16,694700.27,6700000
2050000,0,0,2141754.58,1935,0,0,131,7.51,438798.5,1400000
2050000,0,0,2141754.58,1938,0,0,92,13.06,1145473.04,2050000
3050000,0,0,3186512.92,1979,0,0,180,3.78,1134920.98,4900000
1900000,0,0,1985040.83,1780,0,0,109,5.46,730390.55,1950000
4150000,0,0,4281268.39,1973,0,0,258,5.95,1574371.97,3900000
146667000,284,0,444184.6,1977,284,0,0,29,0,680000
2200000,0,0,2298468.33,1952,0,0,78,3.78,1296754.04,2995000
1950000,0,0,2037278.75,1960,0,0,103,17.41,1063250.56,2000000
2200000,0,0,2298468.33,1958,0,0,131,3.78,1073698.14,3495000
2900000,0,0,3029799.17,1976,0,0,182,20.05,1242531.09,4900000
2600000,0,0,2600000,1976,0,0,172,35.56,985200,2800000
1950000,0,0,2011680.33,1958,0,0,122,6.51,1034106.85,2700000
2750000,0,0,2873085.42,1973,0,0,180,8.23,1110369.16,3850000
2400000,0,0,2475914.25,1974,0,0,140,-1.19,1098480.62,2700000
3200000,0,0,3200000,1976,0,0,204,26.22,1098200,2875000
3150000,0,0,3249637.45,1985,0,0,168,5.1,1313369.35,3950000
2400000,0,0,2507420,1974,0,43,112,8.94,1260396.45,3660000
2900000,0,0,3029799.17,1974,0,48,152,11.45,1254127.9,2206120
2050000,0,0,2050000,1964,0,0,105,39.32,1092600,3175000
3000000,0,0,3000000,1959,0,0,169,42.54,1177500,5250000
2100000,0,0,2100000,1959,0,0,118,29.2,1015800,2915000
2600000,0,0,2600000,1957,0,0,175,32.36,994500,2250000
2600000,0,0,2716371.67,1968,0,0,163,19.51,979460.94,4575000
890000,0,0,886131.11,1973,0,0,50,-0.45,495038.64,1099999
1400000,0,0,1357127.88,1976,0,0,86,9.05,620789.07,1900000
3050000,0,0,3146474.36,1957,0,0,188,6.01,1244559.56,3985000
2150000,0,0,2210740.86,1982,0,0,110,-0.03,1022596.18,2795000
2650000,0,0,2768609.58,1920,0,0,113,14.11,1039012.16,2930000
1900000,0,0,1985040.83,1967,0,0,81,8.94,1172009.9,2175000
2600000,0,0,2600000,1963,0,0,140,29.06,1204900,2700000
3100000,100,0,3100000,1954,100,76,98,31.89,1538500,3200000
2350000,0,0,2424332.7,1966,0,0,132,7.16,1187200.88,3900000
2750000,0,0,2836985.08,1985,0,0,160,3.98,1058969.16,2800000
2500000,0,0,2611895.83,1976,0,0,140,17.38,1204083.98,3070000
1200000,0,0,1200000,2005,0,0,73,31.89,475400,2300000
2300000,0,0,2300000,1973,0,0,129,29.99,1092000,3200000
2500000,0,0,2579077.34,1962,0,0,156,5.81,1069698.12,4200000
3600000,0,0,3761130,1925,0,0,127,0.49,1400707.5,4990000
2750000,0,0,2750000,1994,0,0,140,32.36,994500,3375000
2550000,0,0,2664133.75,1968,0,52,151,11.8,1099921.57,4195000
3250000,0,0,3341817.58,1995,0,0,171,-0.26,1118017.92,4395000
1850000,340,0,1724772.3,1916,340,0,0,6.15,714521.89,1000000
2450000,0,0,2450000,1980,0,0,147,29.2,969900,3895000
2150000,0,0,2150000,1964,0,0,114,29.78,972000,2920000
2350000,0,0,2350000,1977,0,0,139,28.22,972700,3370000
3200000,0,0,3343226.67,1955,0,0,170,8.23,1276590.21,4300000
2300000,0,0,2300000,1960,0,57,103,30.63,1177400,4595000
2650000,0,0,2650000,1960,0,0,165,35.56,1124100,3675000
3150000,0,0,3238992.42,1958,0,0,201,4.82,1004807.43,4100000
5100000,0,0,5100000,1949,0,80,268,29.66,1622900,4450000
2900000,0,0,2991729.72,1965,0,0,170,3.89,1146657.79,4940000
2900000,0,0,2991729.72,1963,0,37,175,9.51,1146657.79,3575000
2900000,0,0,2900000,1995,0,0,155,25.74,942100,4275000
2750000,0,0,2788302.6,1985,0,0,160,26.46,968707.02,4200000
2200000,0,0,2262153.44,1962,0,0,138,-2.13,966042.34,3350000
2050000,0,0,2050000,1958,0,0,102,32.36,1087300,2655000
2300000,0,0,2402944.17,1956,0,0,100,11.81,1456079.69,2750000
2250000,0,0,2350706.25,1959,0,0,118,22.36,1163024.98,2350000
1400000,0,37067,1400000,1966,0,0,56,28.45,217600,925000
740000,0,37067,757285.2,1966,0,0,25,5.89,148489.3,410000
250000,0,37067,261189.58,1966,0,0,25,8.94,151594.43,340000
740000,0,37067,773121.17,1966,0,0,25,3.78,151594.43,535000
803100,0,0,803100,0,0,0,0,42.54,803100,5000000
2150000,0,0,2246230.42,1966,0,0,152,19.51,1014773.77,3475000
2800000,0,0,2838999.01,2001,0,0,145,31.35,961305.34,4250000
3700000,20,0,3700000,1970,20,0,203,28.23,1365800,3875000
2500000,0,0,2611895.83,1952,0,0,121,19.8,1157383.28,3175000
2450000,0,0,2519216.33,1962,0,0,132,0.37,1203054.33,3700000
3100000,0,0,3198055.91,1997,0,0,178,5.1,1029980.33,3650000
2950000,0,0,2950000,1973,0,0,198,30.11,1127100,4400000
2500000,0,0,2611895.83,1974,0,0,154,9.65,1120712.26,3850000
1950000,0,0,2037278.75,1959,0,0,102,3.13,1057713.34,2500000
2500000,0,0,2611895.83,1974,0,60,140,9.05,1182457.48,4600000
2100000,0,0,2193992.5,1974,0,0,118,20.26,674600.46,2795000
2100000,0,0,2100000,1975,0,0,118,32.36,645700,3075000
3100000,0,0,3238750.83,1986,0,0,158,11.68,1376469.1,3350000
770000,0,25468,770000,1973,0,0,43,39.32,156200,845000
770000,0,25468,799040.04,1973,0,0,43,9.87,162090.98,725000
770000,0,25468,790326.49,1973,0,0,43,26.46,160323.37,725000
1250000,0,25468,1250000,1973,0,0,75,28.23,238900,1995000
1300000,0,25468,1349028.63,1973,0,0,77,19.51,247909.95,1550000
1300000,0,25468,1300000,1973,0,0,77,44.71,238900,1795000
1250000,0,25468,1297142.92,1973,0,0,75,9.05,247909.95,1600000
1300000,0,25468,1300000,1973,0,0,77,39.32,238900,1785000
1300000,0,25468,1300000,1973,0,0,77,30.15,238900,1760000
1300000,0,25468,1300000,1973,0,0,77,38.13,238900,1735000
1300000,0,25468,1300000,1973,0,0,77,29.3,238900,1750000
1300000,0,25468,1330365.89,1973,0,0,78,5.36,244480.32,1595000
3800000,1550,0,3907355.93,1995,1550,0,189,2.36,977558.76,6980000
2300000,0,0,2372751.16,1975,0,0,139,5.95,661997.57,2995000
2300000,0,0,2300000,1976,0,0,139,28.22,641700,3645000
2900000,0,0,3029799.17,1975,0,0,183,17.51,992206.99,3935000
2500000,0,0,2500000,1977,0,0,133,29.06,1201200,3150000
2750000,0,0,2750000,1976,0,0,178,29.59,1121800,4400000
2450000,0,0,2450000,1976,0,0,140,29.78,987200,3500000
2300000,0,0,2372751.16,1976,0,0,137,2.24,703056.48,3050000
2550000,0,0,2664133.75,1932,0,0,154,9.65,537946.07,2545000
6450000,0,0,6738691.25,1976,0,0,241,10.73,2890219.45,5500000
2750000,0,0,2836985.08,1976,0,0,138,7.16,661997.57,2925000
2800000,0,0,2800000,1976,0,0,142,35.56,647100,3350000
2750000,0,0,2750000,1976,0,0,138,38.13,641700,2875000
3000000,0,0,3094892.81,1976,0,0,148,4.47,661997.57,3495000
2750000,0,0,2873085.42,1976,0,0,138,15.98,670421.42,1390000
2750000,0,0,2750000,1976,0,0,138,29.06,641700,3430000
1400000,0,58226,1432701.73,1979,0,0,56,-1.47,321334.53,2150000
2000000,0,0,2000000,1981,0,0,112,33.36,908500,2275000
780000,0,3464,809417.18,1954,0,0,76,3.41,219580.35,1100000
3100000,0,28025,3216914.43,1780,0,0,234,0.49,1164211.71,2700000
1700000,0,28025,1764114.36,1780,0,0,105,7.76,349294.64,2400000
1000000,0,0,1044758.33,1960,0,0,142,18.7,516633,2730000
