MI_OBJ_OIS_SUM_OF_TAXATION_VALUES,MI_OBJ_OIS_SIZE_OF_BUSINESS_AREA,MI_OBJ_OIS_MOTHER_ID,MI_OBJ_OIS_TAXATION_VALUE,MI_OBJ_OIS_CONSTRUCTION_YEAR,MI_OBJ_OIS_SIZE_OF_BUSINESS_AREA_BUILDING,MI_OBJ_OIS_SIZE_OF_BASEMENT,MI_OBJ_OIS_SIZE_OF_HOUSE,C20_6MONTH%,MI_OBJ_OIS_TAXATION_VALUE_PLOT,KOEBESUM_BELOEB
1950000,0,887600,2091977.89,2007,0,0,88,11.8,343513.5,2950000
1800000,0,887740,1800000,2007,0,0,87,28.23,300000,3000000
2050000,0,887740,2199258.8,2007,0,0,93,6.99,351452.29,2600000
2900000,0,339637,3039664.36,1799,0,0,115,6.15,405847.6,3700000
2050000,0,466710,2160305.15,2007,0,0,78,5.58,318355.21,2895000
2750000,0,466710,2897970.32,2007,0,0,103,-1.19,442704.48,3625000
2550000,0,466710,2687208.84,2007,0,0,95,5.4,407928.84,3350000
2700000,0,466710,2909076.76,2007,0,0,101,9.65,452630.8,3675000
2000000,0,466710,2000000,2007,0,0,76,31.71,302100,3065000
2700000,0,466710,2909076.76,2007,0,0,100,8.23,447566.85,3900000
1950000,0,840,2092861.24,2006,0,0,102,18.58,480714.13,3275000
1700000,0,840,1824545.69,2006,0,0,86,8.94,398931.55,3475000
2000000,0,840,2106875.33,2006,0,0,102,3.63,471834.73,3595000
1650000,0,281060,1650000,2007,0,0,75,29.2,277700,2345000
2500000,0,281060,2580530.48,2007,0,0,108,7.16,429916.38,3195000
2500000,0,281060,2580530.48,2007,0,0,108,5.57,429916.38,3495000
1900000,0,501191,2039009.63,1850,0,0,155,20.26,516620.65,5550000
2800000,0,1723,2800000,2007,0,0,126,35.79,494400,4498000
2450000,0,1723,2629492.32,2007,0,0,112,18.3,464937.17,3995000
2550000,0,1723,2550000,2007,0,0,117,25.74,455000,4240000
1750000,0,1723,1843515.91,2007,0,0,85,12.29,331832.86,2600000
2800000,0,1723,2949625.46,2007,0,0,126,-0.03,520819.58,4300000
1700000,0,1723,1700000,2007,0,0,77,32.54,280000,2319000
2850000,0,1723,2906681.83,2007,0,0,126,27.29,504232.81,1830000
2300000,0,1723,2468503,2007,0,0,112,14.11,464937.17,3800000
2500000,0,1723,2500000,2007,0,0,114,36.29,441900,4500000
2050000,0,137830,2050000,2007,0,0,81,31.12,400400,2575000
3650000,0,137830,3845047.47,2007,0,0,133,3.98,730980.4,5300000
3700000,0,137830,3897719.36,2007,0,0,133,-0.03,730980.4,4250000
2500000,0,420981,2634518.47,2007,0,0,101,5.1,455455.55,3250000
2700000,0,420981,2845279.95,2007,0,0,102,-0.03,455455.55,3400000
2700000,0,420981,2909076.76,2007,0,0,101,18.25,460603.82,3850000
2750000,0,420981,2962948.55,2007,0,0,104,10.14,480967.36,3800000
2700000,0,420981,2909076.76,2007,0,0,102,10.23,465667.77,3795000
2750000,0,420981,2962948.55,2007,0,0,104,9.01,480967.36,3900000
2750000,0,420981,2750000,2007,0,0,101,27.69,427500,4120000
3000000,0,0,3100540.46,2008,0,0,146,2.74,872802.14,4300000
1400000,16,633683,1400000,1912,0,0,74,35.56,139000,1970000
1900000,0,411850,2039009.63,1812,0,0,77,2.36,265393.2,2800000
1900000,0,411850,1900000,1812,0,0,77,29.69,247300,3495000
1950000,0,411850,2043912.24,1812,0,0,77,5.31,259210,3025000
1700000,0,411850,1824377.03,1812,0,0,68,15.98,215491.12,2495000
1750000,0,411850,1878035.18,1812,0,0,68,3.93,215491.12,2800000
2500000,0,393950,2633594.16,2005,0,0,109,5.95,503332.52,3500000
1650000,0,393950,1770882.58,2005,0,0,64,15.98,284307.15,2615000
1550000,0,611060,1663556.37,2007,0,0,75,11.45,309099.51,2200000
1600000,0,611060,1685500.26,2007,0,0,75,5.58,303390.05,2075000
1650000,0,611060,1650000,2007,0,0,78,31.89,301300,2400000
1700000,0,611060,1790844.03,2007,0,0,83,-0.26,340787.08,2195000
1650000,0,611060,1738172.15,2007,0,0,80,6.01,317400.77,2195000
1100000,0,611060,1158781.43,2007,0,0,58,-1.19,228701.32,1620000
1450000,0,611060,1450000,2007,0,0,77,31.27,301300,2170000
