MI_OBJ_OIS_SUM_OF_TAXATION_VALUES,MI_OBJ_OIS_SIZE_OF_BUSINESS_AREA_BUILDING,MI_OBJ_OIS_MOTHER_ID,MI_OBJ_OIS_TAXATION_VALUE,MI_OBJ_OIS_CONSTRUCTION_YEAR,MI_OBJ_OIS_SIZE_OF_BASEMENT,MI_OBJ_OIS_SIZE_OF_ATTIC,SUPERMARKET_DISTANCE_1,MI_OBJ_OIS_SIZE_OF_BUSINESS_AREA,MI_OBJ_OIS_TAXATION_VALUE_PLOT
2450000.0,0,489680.0,2599446.74,2007.0,0,0,162.56,0,481799.5
2500000.0,0,489680.0,2652496.67,2007.0,0,0,150.04,0,486361.79
2000000.0,0,489680.0,2000000.0,2007.0,0,0,130.61,0,314300.0
2500000.0,0,489680.0,2580530.48,2007.0,0,0,115.92,0,423619.88
2450000.0,0,887600.0,2628382.47,2007.0,0,0,108.02,0,437920.7
1850000.0,0,887600.0,1984696.97,2007.0,0,0,95.75,0,339222.26
2150000.0,0,887600.0,2252537.56,2007.0,0,0,95.75,0,360615.55
2100000.0,0,887600.0,2252899.26,2007.0,0,0,95.75,0,364969.68
1800000.0,0,887600.0,1931056.51,2007.0,0,0,76.1,0,343513.5
1950000.0,0,887600.0,2091977.89,2007.0,0,0,76.1,0,343513.5
1800000.0,0,887740.0,1800000.0,2007.0,0,0,119.08,0,300000.0
2050000.0,0,887740.0,2199258.8,2007.0,0,0,119.2,0,351452.29
2900000.0,0,339637.0,3039664.36,1799.0,0,0,14.86,0,405847.6
2050000.0,0,466710.0,2160305.15,2007.0,0,0,49.3,0,318355.21
2750000.0,0,466710.0,2897970.32,2007.0,0,0,49.3,0,442704.48
2550000.0,0,466710.0,2687208.84,2007.0,0,0,79.62,0,407928.84
2700000.0,0,466710.0,2909076.76,2007.0,0,0,112.46,0,452630.8
2000000.0,0,466710.0,2000000.0,2007.0,0,0,112.46,0,302100.0
2700000.0,0,466710.0,2909076.76,2007.0,0,0,112.46,0,447566.85
1950000.0,0,840.0,2092861.24,2006.0,0,0,313.6,0,480714.13
1700000.0,0,840.0,1824545.69,2006.0,0,0,313.6,0,398931.55
2000000.0,0,840.0,2106875.33,2006.0,0,0,336.91,0,471834.73
1650000.0,0,281060.0,1650000.0,2007.0,0,0,465.42,0,277700.0
2500000.0,0,281060.0,2580530.48,2007.0,0,0,465.42,0,429916.38
2500000.0,0,281060.0,2580530.48,2007.0,0,0,465.42,0,429916.38
1900000.0,0,501191.0,2039009.63,1850.0,0,0,99.04,0,516620.65
2800000.0,0,1723.0,2800000.0,2007.0,0,0,202.94,0,494400.0
2450000.0,0,1723.0,2629492.32,2007.0,0,0,216.15,0,464937.17
2550000.0,0,1723.0,2550000.0,2007.0,0,0,228.82,0,455000.0
1750000.0,0,1723.0,1843515.91,2007.0,0,0,171.55,0,331832.86
2800000.0,0,1723.0,2949625.46,2007.0,0,0,163.03,0,520819.58
1700000.0,0,1723.0,1700000.0,2007.0,0,0,163.03,0,280000.0
2850000.0,0,1723.0,2906681.83,2007.0,0,0,163.03,0,504232.81
2300000.0,0,1723.0,2468503.0,2007.0,0,0,155.88,0,464937.17
2500000.0,0,1723.0,2500000.0,2007.0,0,0,151.3,0,441900.0
2050000.0,0,137830.0,2050000.0,2007.0,0,0,330.05,0,400400.0
3650000.0,0,137830.0,3845047.47,2007.0,0,0,330.05,0,730980.4
3700000.0,0,137830.0,3897719.36,2007.0,0,0,336.78,0,730980.4
2500000.0,0,420981.0,2634518.47,2007.0,0,0,80.43,0,455455.55
2700000.0,0,420981.0,2845279.95,2007.0,0,0,90.09,0,455455.55
2700000.0,0,420981.0,2909076.76,2007.0,0,0,90.09,0,460603.82
2750000.0,0,420981.0,2962948.55,2007.0,0,0,80.43,0,480967.36
2700000.0,0,420981.0,2909076.76,2007.0,0,0,90.09,0,465667.77
2750000.0,0,420981.0,2962948.55,2007.0,0,0,80.43,0,480967.36
2750000.0,0,420981.0,2750000.0,2007.0,0,0,90.09,0,427500.0
3000000.0,0,0.0,3100540.46,2008.0,0,0,149.89,0,872802.14
1400000.0,0,633683.0,1400000.0,1912.0,0,0,117.4,16,139000.0
1900000.0,0,411850.0,2039009.63,1812.0,0,0,61.38,0,265393.2
1900000.0,0,411850.0,1900000.0,1812.0,0,0,61.38,0,247300.0
1950000.0,0,411850.0,2043912.24,1812.0,0,0,61.38,0,259210.0
1700000.0,0,411850.0,1824377.03,1812.0,0,0,49.54,0,215491.12
1750000.0,0,411850.0,1878035.18,1812.0,0,0,49.54,0,215491.12
2500000.0,0,393950.0,2633594.16,2005.0,0,0,192.02,0,503332.52
1650000.0,0,393950.0,1770882.58,2005.0,0,0,192.02,0,284307.15
1550000.0,0,611060.0,1663556.37,2007.0,0,0,156.95,0,309099.51
1600000.0,0,611060.0,1685500.26,2007.0,0,0,156.95,0,303390.05
1650000.0,0,611060.0,1650000.0,2007.0,0,0,156.95,0,301300.0
1700000.0,0,611060.0,1790844.03,2007.0,0,0,135.02,0,340787.08
1650000.0,0,611060.0,1738172.15,2007.0,0,0,124.56,0,317400.77
1100000.0,0,611060.0,1158781.43,2007.0,0,0,114.46,0,228701.32
1450000.0,0,611060.0,1450000.0,2007.0,0,0,114.46,0,301300.0
1600000.0,0,611060.0,1685500.26,2007.0,0,0,125.38,0,317400.77
1600000.0,0,611060.0,1685500.26,2007.0,0,0,125.38,0,317400.77
1750000.0,0,611060.0,1750000.0,2007.0,0,0,133.39,0,323500.0
1750000.0,0,611060.0,1748931.42,2007.0,0,0,133.39,0,323302.47
1950000.0,0,611060.0,2092861.24,2007.0,0,0,147.71,0,399575.51
4300000.0,0,529223.0,4300000.0,2007.0,0,0,76.92,10,567600.0
1900000.0,0,521109.0,2039198.13,1971.0,0,0,107.81,0,238371.53
2350000.0,0,521109.0,2475578.51,1971.0,0,0,107.81,0,291802.23
1900000.0,0,521109.0,2039198.13,1971.0,0,0,122.62,0,238371.53
1650000.0,0,521109.0,1770882.58,1971.0,0,0,135.35,0,203490.51
1900000.0,0,521109.0,2039198.13,1971.0,0,0,135.35,0,238371.53
1750000.0,0,610900.0,1750000.0,2007.0,0,0,371.04,0,353400.0
1800000.0,0,610900.0,1931871.91,2007.0,0,0,371.04,0,379290.85
1850000.0,0,610900.0,1850000.0,2007.0,0,0,371.04,0,371300.0
2050000.0,0,610900.0,2050000.0,2007.0,0,0,348.42,0,420500.0
1800000.0,0,610900.0,1931871.91,2007.0,0,0,348.42,0,379290.85
2100000.0,0,610900.0,2253850.56,2007.0,0,0,348.42,0,451306.74
1800000.0,0,610900.0,1931871.91,2007.0,0,0,348.42,0,379290.85
1900000.0,0,610900.0,2001531.56,2007.0,0,0,348.42,0,386506.28
1900000.0,0,610900.0,1900000.0,2007.0,0,0,348.42,0,366900.0
1900000.0,0,610900.0,2001531.56,2007.0,0,0,343.04,0,372284.87
2150000.0,0,610900.0,2150000.0,2007.0,0,0,330.34,0,420500.0
1800000.0,0,610900.0,1931871.91,2007.0,0,0,313.3,0,379290.85
1750000.0,0,610900.0,1843515.91,2007.0,0,0,306.02,0,372284.87
1750000.0,0,610900.0,1878208.8,2007.0,0,0,319.82,0,379290.85
1800000.0,0,610900.0,1896187.8,2007.0,0,0,319.82,0,372284.87
1900000.0,0,610900.0,1900000.0,2007.0,0,0,319.82,0,366900.0
1900000.0,0,610900.0,2039198.13,2007.0,0,0,319.82,0,393779.89
1900000.0,0,610900.0,1900000.0,2007.0,0,0,319.82,0,366900.0
4150000.0,0,992446.0,4471358.73,1878.0,0,0,154.26,37,778555.14
3200000.0,0,303772.0,3372183.65,1905.0,0,0,60.15,0,201804.12
2200000.0,0,281230.0,2248453.75,2007.0,0,0,520.4,0,343093.6
2150000.0,0,281230.0,2219256.21,2007.0,0,0,520.4,0,316476.26
3350000.0,0,281230.0,3554345.54,2007.0,0,0,478.31,0,536440.93
2400000.0,0,281230.0,2477309.26,2007.0,0,0,562.68,0,376447.79
2200000.0,0,281230.0,2334197.07,2007.0,0,0,578.74,0,364983.54
2650000.0,0,281230.0,2811646.47,2007.0,0,0,578.74,0,413258.98
1400000.0,0,3236.0,1518083.02,2007.0,0,0,224.02,0,91084.98
1800000.0,0,3236.0,1951821.02,2007.0,0,0,221.42,0,87723.51
1700000.0,0,3236.0,1843386.52,2007.0,0,0,230.82,0,88916.29
1800000.0,0,3236.0,1800000.0,2007.0,0,0,225.36,0,80900.0
1800000.0,0,3236.0,1800000.0,2007.0,0,0,229.01,0,82000.0
2150000.0,0,826660.0,2150000.0,2007.0,0,0,125.74,5,415500.0
2200000.0,0,826660.0,2361176.78,2007.0,0,0,125.74,5,445940.43
